company_name,component_category,components_supplied,country
Bharat Forge Ltd,engine,Diesel Engine ,India
Tata Motors Ltd,engine,Diesel Engine,India
Mahindra Defence Systems,engine,Light tactical vehicle engines,India
Cummins India Ltd,engine,Diesel Engine,India
AVTEC Ltd,engine,Engine castings,India
Apollo Tyres Ltd,tyre,"Run-flat tyres, military-grade radial tyres",India
MRF Ltd,tyre,"Heavy-duty radial tyres, off-road tyres",India
CEAT Ltd,tyre,"Military vehicle tyres, tubeless tyres",India
JK Tyre & Industries,tyre,Radial tyres,India
Balkrishna Industries Ltd,tyre,Off-highway and specialty tyres,India
Bharat Electronics Ltd (BEL),turret,"Turret fire-control systems, sighting systems",India
BEML Ltd,turret,"Turret hulls, armoured structural assemblies",India
Armoured Vehicles Nigam Ltd (AVNL),turret,"Turret integration, armoured vehicle assembly",India
Larsen & Toubro Defence,turret,"Turret weapon stations, remote weapon systems",India
Mishra Dhatu Nigam (MIDHANI),turret,Armour-grade special steel for turret plating,India
Mishra Dhatu Nigam (MIDHANI),armor,"Armour plate, ballistic-grade steel and alloys",India
Steel Authority of India (SAIL),armor,Rolled armour steel plate,India
Bharat Forge Ltd,armor,"Forged armour components, spall liners",India
