company_name,component_category,components_supplied,country,lead_time_weeks
Bharat Forge Ltd,engine,Diesel Engine ,India,12
Tata Motors Ltd,engine,Diesel Engine,India,3
Mahindra Defence Systems,engine,Light tactical vehicle engines,India,2
Cummins India Ltd,engine,Diesel Engine,India,13
AVTEC Ltd,engine,Engine castings,India,6
Apollo Tyres Ltd,tyre,"Run-flat tyres, military-grade radial tyres",India,5
MRF Ltd,tyre,"Heavy-duty radial tyres, off-road tyres",India,5
CEAT Ltd,tyre,"Military vehicle tyres, tubeless tyres",India,4
JK Tyre & Industries,tyre,Radial tyres,India,13
Balkrishna Industries Ltd,tyre,Off-highway and specialty tyres,India,3
Bharat Electronics Ltd (BEL),turret,"Turret fire-control systems, sighting systems",India,12
BEML Ltd,turret,"Turret hulls, armoured structural assemblies",India,13
Armoured Vehicles Nigam Ltd (AVNL),turret,"Turret integration, armoured vehicle assembly",India,16
Larsen & Toubro Defence,turret,"Turret weapon stations, remote weapon systems",India,10
Mishra Dhatu Nigam (MIDHANI),turret,Armour-grade special steel for turret plating,India,3
Mishra Dhatu Nigam (MIDHANI),armor,"Armour plate, ballistic-grade steel and alloys",India,11
Steel Authority of India (SAIL),armor,Rolled armour steel plate,India,8
Bharat Forge Ltd,armor,"Forged armour components, spall liners",India,2
